Date,Subscribers
2012-04-16,2
2012-04-17,2
2012-04-18,2
2012-04-19,2
2012-04-20,2
2012-04-21,2
2012-04-22,2
2012-04-24,2
2012-04-25,2
2012-04-26,2
2012-04-27,2
2012-04-28,2
2012-04-29,2
2012-04-30,2
2012-05-02,2
2012-05-05,2
2012-05-15,2
2012-05-28,2
2012-06-09,2
2012-06-16,2
2012-06-25,2
2012-06-27,2
2012-06-29,2
2012-07-01,2
2012-07-02,2
2012-07-13,2
2012-07-15,2
2012-07-16,2
2012-07-21,2
2012-07-24,2
2012-07-26,2
2012-07-29,2
2012-08-06,2
2012-08-07,2
2012-08-08,2
2012-08-13,2
2012-08-26,2
2012-08-28,2
2012-08-29,2
2012-08-30,2
2012-08-31,2
2012-09-03,2
2012-09-05,2
2012-09-08,2
2012-09-10,2
2012-09-13,2
2012-09-14,2
2012-09-18,2
2012-09-19,2
2012-10-02,2
2012-10-06,2
2012-10-10,2
2012-10-14,2
2012-10-15,2
2012-10-16,2
2012-10-17,2
2012-10-18,2
2012-10-25,2
2012-10-26,2
2012-11-02,2
2012-11-03,2
2012-11-04,2
2012-11-20,2
2012-11-22,2
2012-11-24,2
2012-12-05,2
2012-12-06,2
2012-12-09,2
2012-12-15,2
2012-12-19,2
2012-12-20,2
2012-12-21,2
2012-12-22,2
2012-12-24,2
2012-12-31,2
2013-01-01,2
2013-01-02,2
2013-01-04,2
2013-01-07,2
2013-01-10,2
2013-01-16,2
2013-01-24,2
2013-01-30,2
2013-02-05,2
2013-02-18,2
2013-02-20,1
2013-02-22,1
2013-03-11,1
2013-03-24,1
2013-03-31,1
2013-04-11,1
2013-05-08,1
2013-05-09,1
2013-05-10,1
2013-05-12,1
2013-05-20,1
2013-05-27,1
2013-06-20,1
2013-06-26,2
2013-06-29,2
2013-07-12,2
2013-07-15,2
2013-07-25,2
2013-07-27,2
2013-07-28,2
2013-08-08,2
2013-08-26,2
2013-08-28,3
2013-08-29,3
2013-09-02,3
2013-09-03,3
2013-09-10,3
2013-09-17,3
2013-09-26,3
2013-09-27,3
2013-09-28,3
2013-10-07,3
2013-10-09,3
2013-10-12,3
2013-10-15,3
2013-10-27,3
2013-10-28,3
2013-11-07,3
2013-11-15,3
2013-11-18,3
2013-11-24,3
2013-12-04,3
2013-12-06,3
2013-12-12,3
2013-12-23,3
2013-12-26,3
2013-12-31,3
2014-01-05,3
2014-01-13,3
2014-01-23,3
2014-01-26,3
2014-01-27,3
2014-02-04,3
2014-02-13,3
2014-02-15,3
2014-02-26,3
2014-02-27,3
2014-02-28,3
2014-03-01,3
2014-03-02,3
2014-03-03,3
2014-03-04,3
2014-03-05,3
2014-03-08,3
2014-03-13,3
2014-03-17,3
2014-03-19,3
2014-03-20,3
2014-03-22,3
2014-03-25,3
2014-03-27,3
2014-04-03,3
2014-04-06,3
2014-04-14,3
2014-04-18,3
2014-04-27,3
2014-05-01,3
2014-05-11,3
2014-05-14,3
2014-05-16,3
2014-05-17,3
2014-05-23,3
2014-05-24,3
2014-05-25,3
2014-05-27,3
2014-05-29,3
2014-05-30,3
2014-06-05,3
2014-06-11,3
2014-06-12,3
2014-06-14,3
2014-06-18,3
2014-06-27,3
2014-07-05,3
2014-07-07,3
2014-07-09,3
2014-07-14,3
2014-07-20,3
2014-07-22,3
2014-07-23,3
2014-07-25,3
2014-08-04,3
2014-08-07,3
2014-08-09,3
2014-08-21,3
2014-08-24,3
2014-08-28,3
2014-09-01,3
2014-09-02,3
2014-09-04,3
2014-09-07,3
2014-09-11,3
2014-09-14,3
2014-09-15,3
2014-09-16,3
2014-09-18,3
2014-09-19,3
2014-09-20,3
2014-09-22,3
2014-09-24,3
2014-09-26,3
2014-09-27,3
2014-09-28,3
2014-09-30,3
2014-10-01,3
2014-10-03,3
2014-10-06,3
2014-10-08,3
2014-10-09,3
2014-10-10,3
2014-10-12,3
2014-10-14,3
2014-10-18,3
2014-10-20,3
2014-10-21,3
2014-10-22,3
2014-10-23,3
2014-10-27,3
2014-11-02,3
2014-11-05,3
2014-11-10,3
2014-11-12,3
2014-11-20,3
2014-11-28,3
2014-12-01,3
2014-12-02,3
2014-12-04,3
2014-12-07,3
2014-12-08,3
2014-12-10,3
2014-12-14,3
2014-12-15,3
2014-12-24,3
2014-12-28,3
2014-12-29,3
2015-01-11,3
2015-01-12,3
2015-01-15,3
2015-01-27,3
2015-01-31,3
2015-02-04,3
2015-02-10,3
2015-02-11,3
2015-02-12,3
2015-02-13,3
2015-02-16,3
2015-02-17,3
2015-02-18,3
2015-02-21,3
