Content,Video title,Video publish time,Duration,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Engaged views,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,71.07,0,0,0,0,0,1177357,0:04:04,10.73,1179894,80048.665,17334,2177.191,12894063,5.02
6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,100,,,,,,27102,0:04:23,26.92,27102,1981.735,305,56.827,332014,5.02
Gu83gy01gi4,Using Appwrite Labels for Permissions,,59,100,,,,,,4,0:00:53,90.96,4,0.0596,0,,0,
LlMkuB8N_Ac,Livewire Volt has a VS Code Extension Now (and I'm so excited),"Dec 11, 2024",1223,100,,,,,,4616,0:04:06,20.16,4616,316.1563,26,10.99,60694,4.11
OiKcEDZvOcg,First Look at Livewire Flux (and I'm building a starter kit?),"Sep 25, 2024",681,100,,,,,,8709,0:03:23,29.85,8709,491.7622,48,21.978,72943,7.14
Na2zKO2-bjw,5 things you might not have known that Laravel Blade does,"Mar 22, 2024",60,85.53,,,,,,12200,0:00:50,84.01,12868,170.8807,97,0.804,267441,2.96
g42O12Aefgw,Make VS Code Beautiful Please,"Jul 3, 2024",60,83.55,,,,,,7365,0:00:37,61.79,7575,75.8699,16,0.504,101051,4.06
xmp2IDTEG3A,🤔 Should Developers Wireframe before Coding? #design #webdev #coding,"Nov 27, 2024",54,80.15,,,,,,38806,0:00:51,95.18,38984,554.0898,11,0.334,174262,0.9
WRZnUen7Wko,Using toasts instead of flashing a session message?,"Sep 25, 2024",59,76.01,,,,,,8690,0:00:36,61.07,9017,87.0071,16,0.728,405023,0.91
9Pj87lvjV-0,You can use React and Vue in Laravel Livewire? 👀 #laravel #reactjs #vuejs #livewire,"Dec 29, 2023",60,74.23,,,,,,9246,0:00:43,72.03,9889,111.1151,27,0.42,189359,2.6
ugOmUWp9eG0,Lazy Load and wire:transition in Laravel Livewire,"Dec 7, 2023",60,73.89,,,,,,1022,0:00:40,67.59,1098,11.5435,1,0.035,14763,2.79
8e2BPwhxUMU,Appwrite and SolidJS... Speed run,"Jan 12, 2024",60,66.06,,,,,,1477,0:00:34,57.59,1508,14.1922,4,0.077,26830,2.85
C6Gfhtm6Rd0,daisyUI but for the TALL stack,"Nov 29, 2023",14,65.28,,,,,,237,0:00:19,139.04,334,1.2931,0,0.015,4705,2.78
g5TUNgvRhmQ,Laravel doesn't care what you use on the front-end.,"Nov 18, 2023",41,64.35,,,,,,161,0:00:24,59.46,166,1.0919,0,0.008,1561,4.1
NzwKV2nslTU,Ploi.io might be best bang for the buck.  #laravel,"Dec 29, 2023",48,61.78,,,,,,896,0:00:25,54.06,958,6.4652,0,0.039,11445,2.69
p5utpmzNzcM,A new Cloud programming language?,"Dec 11, 2023",60,58.58,,,,,,847,0:00:40,67.2,857,9.491,2,0.032,14477,2.13
qBBUdWWocsM,📱 My New Studio Setup Makes Drawing Ideas SO Much Easier! #iPadSetup #contentcreator #coding,"Feb 5, 2025",71,58.05,,,,,,1728,0:00:50,71.7,1799,24.4542,1,0.08,5827,3.35
eFY230PW4kE,Laravel is the magic framework.,"Nov 21, 2023",39,56.91,,,,,,115,0:00:26,66.98,126,0.8395,0,0.008,1859,3.44
WokPPPHU2kk,Learning requires more than Copy + Paste,"Jan 15, 2024",57,56.44,,,,,,1541,0:00:37,65.32,1591,15.9457,3,0.069,27041,2.15
xMJ0roC9nME,Find what works best for you. // Deploying a Laravel App #javascript #laravel #serverless,"Dec 28, 2023",53,51.89,,,,,,1109,0:00:31,59.41,1138,9.7229,4,0.037,17124,2.24
ARyEuj5FRvk,Loading spinners are pretty cool (sometimes),"Dec 6, 2023",39,49.69,,,,,,564,0:00:25,65.46,575,4.0008,1,0.016,3409,3.08
s_O1Lr9ams8,Why is EVERYONE talking about Laravel?,"Nov 22, 2023",26,49.52,,,,,,167,0:00:20,78.79,175,0.9518,1,0.005,1833,1.8
KwMvN1QQ7GY,Laravel Vapor just works. #aws #laravel,"Dec 30, 2023",58,35.26,,,,,,2810,0:00:28,49.04,2860,22.2157,6,0.193,24664,2.77
7XXcRzVfkXU,No More VSCode? My Thoughts After Using Zed for a Month,"May 16, 2025",1584,0,,,,,,24874,0:04:05,15.49,24874,1694.8961,104,57.376,165600,8.35
-2B7awALB8c,Popeyes Sandwich Reaction,,484,,,,,,,13,0:03:05,38.34,13,0.6702,1,,0,
 -HHGH-TTqYM,"Make a Landing Page Functional: Show, Don't Tell","Aug 8, 2023",281,,,,,,,82,0:01:14,26.42,82,1.6913,0,0.03,6490,0.71
 -PtBwSiKP6w,Imposter Syndrome is a REAL Thing,"Aug 2, 2024",927,,,,,,,666,0:03:22,21.84,666,37.4508,2,0.905,19731,1.8
048GxlHPbjk,Josh Cirre - Founding Developer Advocate @ Highlight.io,,98,,,,,,,3,0:00:11,11.7,3,0.0096,0,,0,
0VJaUcjVjWo,The Ease of Deployment Tier List for Laravel Developers,"Dec 22, 2023",1274,,,,,,,6035,0:05:11,24.41,6035,521.4283,97,14.87,82852,4.51
0nPpESelp8s,Is Laravel Livewire actually secure?,"Jun 13, 2024",499,,,,,,,12123,0:03:24,41.02,12123,689.3599,183,18.64,124837,6.1
0yVySrJq0BM,"I read ""How to build a SaaS in a Weekend"" | Josh Reacts","Dec 6, 2023",1688,,,,,,,1643,0:04:38,16.5,1643,127.0819,32,1.695,31579,3.44
